#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_0_end_34600000	chr1	0	34600000	21964402	18670455	0.0376062194901	FALSE	-0.234410134786
chr1_start_34600000_end_43250000	chr1	34600000	43250000	5413559	6433247	0.976142809476	TRUE	0.24896971367
chr1_start_43250000_end_51900000	chr1	43250000	51900000	5422033	4610260	0.0420049417579	FALSE	-0.233985778737
chr1_start_51900000_end_86500000	chr1	51900000	86500000	21516163	25560669	0.99593950694	TRUE	0.248504772964
chr1_start_86500000_end_121100000	chr1	86500000	121100000	21924898	18730841	0.0432254073005	FALSE	-0.227154454009
chr1_start_128000000_end_143899962	chr1	128000000	143899962	1724831	1649698	0.120357634113	FALSE	-0.0642530692775
chr1_start_143899962_end_159799924	chr1	143899962	159799924	10966782	16516433	0.830345501956	TRUE	0.590761890694
chr1_start_159799924_end_199549830	chr1	159799924	199549830	24820869	21089934	0.0335481561045	FALSE	-0.234999046059
chr1_start_199549830_end_215449792	chr1	199549830	215449792	9976863	15165045	0.98118556701	TRUE	0.604091609956
chr1_start_215449792_end_247249717	chr1	215449792	247249717	19893441	16897887	0.0345426632191	FALSE	-0.235449987336
