#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_0_end_46576923	chr1	0	46576923	29463897	27114914	0.0298641015603	FALSE	-0.119861664396
chr1_start_46576923_end_74523076	chr1	46576923	74523076	17430690	18435221	0.772940318717	TRUE	0.0808350312666
chr1_start_74523076_end_93153845	chr1	74523076	93153845	11579921	10652518	0.0291931237417	FALSE	-0.120430921774
chr1_start_93153845_end_102469229	chr1	93153845	102469229	5795054	6129759	0.797108357166	TRUE	0.0810082487224
chr1_start_102469229_end_121099998	chr1	102469229	121099998	11985509	11048314	0.0270571619713	FALSE	-0.117464951002
chr1_start_128000000_end_156392790	chr1	128000000	156392790	10522829	9701662	0.0435554121633	FALSE	-0.117218793855
chr1_start_156392790_end_184785580	chr1	156392790	184785580	17751214	21212350	0.90906839681	TRUE	0.256986764543
chr1_start_184785580_end_196142696	chr1	184785580	196142696	7099847	6536259	0.0255941499086	FALSE	-0.11932278365
chr1_start_196142696_end_218856928	chr1	196142696	218856928	14218897	16966388	0.911658617106	TRUE	0.254869904672
chr1_start_218856928_end_247249718	chr1	218856928	247249718	17781114	16353161	0.0272698824266	FALSE	-0.120776183109
