#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_0_end_9315384	chr1	0	9315384	5724556	7458769	0.0178897884565	FALSE	0.38177374556
chr1_start_9315384_end_27946153	chr1	9315384	27946153	12122473	15820645	0.024939451463	FALSE	0.384124378516
chr1_start_27946153_end_65207691	chr1	27946153	65207691	23257563	20261525	0.926263334112	TRUE	-0.198957170814
chr1_start_65207691_end_102469229	chr1	65207691	102469229	23170167	20185548	0.032932834351	FALSE	-0.198945688697
chr1_start_102469229_end_121099998	chr1	102469229	121099998	11987907	7951916	0.569858129689	TRUE	-0.592205374646
chr1_start_128000000_end_163073446	chr1	128000000	163073446	14779112	19165305	0.0656344281892	FALSE	0.374937369577
chr1_start_163073446_end_191132203	chr1	163073446	191132203	17439288	22761174	0.00990048219965	FALSE	0.384233832525
chr1_start_191132203_end_198146892	chr1	191132203	198146892	4404604	3836965	0.885548206053	TRUE	-0.199046713107
chr1_start_198146892_end_226205649	chr1	198146892	226205649	17557400	15313891	0.0344096623121	FALSE	-0.197238324416
chr1_start_226205649_end_247249717	chr1	226205649	247249717	13189826	8649757	0.576700391836	TRUE	-0.608694024299
