#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_51598_end_71155359	chr1	51598	71155359	44770259	44436708	0.910929334242	TRUE	-0.0107887227273
chr1_start_71155496_end_72981640	chr1	71155496	72981640	1132711	1406918	0.998211091234	TRUE	0.312758427068
chr1_start_72981677_end_118821760	chr1	72981677	118821760	28753758	28539082	0.947744826929	TRUE	-0.0108115935625
chr1_start_118821952_end_119247524	chr1	118821952	119247524	259914	323561	0.985865724382	TRUE	0.31600337971
chr1_start_119248025_end_120293407	chr1	119248025	120293407	659760	653442	0.897005988024	TRUE	-0.0138821256706
chr1_start_120293407_end_121100000	chr1	120293407	121100000	643124	636260	0.0358667805295	FALSE	-0.015480502766
chr1_start_128000000_end_188338626	chr1	128000000	188338626	30486795	30253150	0.0267735720762	FALSE	-0.0110991258023
chr1_start_188338626_end_188870762	chr1	188338626	188870762	332439	576536	0.923529411765	TRUE	0.794321053848
chr1_start_188870762_end_222321150	chr1	188870762	222321150	20938664	20776799	0.0230493497833	FALSE	-0.0111959924682
chr1_start_222321150_end_223560451	chr1	222321150	223560451	773017	1337659	0.926014319809	TRUE	0.791138339743
chr1_start_223560451_end_247249719	chr1	223560451	247249719	14854827	14741033	0.0237870195337	FALSE	-0.0110941765836
