#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_51598_end_71155359	chr1	51598	71155359	44768664	44577671	0.476931861439	TRUE	-0.00616802185917
chr1_start_71155496_end_72981640	chr1	71155496	72981640	1132256	1298689	0.76875	TRUE	0.19785580222
chr1_start_72981677_end_118821760	chr1	72981677	118821760	28766673	28625664	0.4981038274	TRUE	-0.00708921800358
chr1_start_118821952_end_119247524	chr1	118821952	119247524	260527	298376	0.79020979021	TRUE	0.195698600946
chr1_start_119248025_end_120293407	chr1	119248025	120293407	660596	657770	0.450483091787	TRUE	-0.00618502362784
chr1_start_120293407_end_121100000	chr1	120293407	121100000	639916	639545	0.0377668308703	FALSE	-0.000836664619196
chr1_start_128000000_end_188338626	chr1	128000000	188338626	30487051	30346796	0.0274933529445	FALSE	-0.00665240031539
chr1_start_188338626_end_188870762	chr1	188338626	188870762	332070	478732	0.534482758621	TRUE	0.527730851499
chr1_start_188870762_end_222321150	chr1	188870762	222321150	20937967	20835950	0.0214585149213	FALSE	-0.00704648848601
chr1_start_222321150_end_223560451	chr1	222321150	223560451	772042	1115387	0.571084337349	TRUE	0.530793122304
chr1_start_223560451_end_247249719	chr1	223560451	247249719	14843688	14781207	0.0229360205742	FALSE	-0.00608550089407
