#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_0_end_14247058	chr1	0	14247058	9108804	8673591	0.0304351617686	FALSE	-0.0706322233308
chr1_start_14247058_end_42741175	chr1	14247058	42741175	17966447	18812794	0.388652287402	TRUE	0.0664089947387
chr1_start_42741175_end_78358822	chr1	42741175	78358822	22211927	21159698	0.0255178127589	FALSE	-0.0700155227443
chr1_start_78358822_end_99729410	chr1	78358822	99729410	13283085	13914404	0.40802062835	TRUE	0.0669888626821
chr1_start_99729410_end_121099998	chr1	99729410	121099998	13688818	13046258	0.0275264926338	FALSE	-0.0693618140155
chr1_start_128000000_end_163073446	chr1	128000000	163073446	14783552	14078451	0.0351105331599	FALSE	-0.070504334876
chr1_start_163073446_end_191132203	chr1	163073446	191132203	17439597	19938676	0.617959726055	TRUE	0.193202910539
chr1_start_191132203_end_205161581	chr1	191132203	205161581	8809431	8395052	0.0227880709403	FALSE	-0.0695095772471
chr1_start_205161581_end_212176270	chr1	205161581	212176270	4400453	5023935	0.621083743842	TRUE	0.191165750551
chr1_start_212176270_end_247249716	chr1	212176270	247249716	21941458	20896421	0.0244314633161	FALSE	-0.0704035271086
