#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_0_end_18527926	chr1	0	18527926	11888340	11573314	0.0282071097372	FALSE	-0.0387452448384
chr1_start_18527926_end_22969419	chr1	18527926	22969419	2801463	3947200	0.525525525526	TRUE	0.494649182285
chr1_start_22969419_end_115061291	chr1	22969419	115061291	57671555	56114318	0.0228874071972	FALSE	-0.0394909898065
chr1_start_115061291_end_115644610	chr1	115061291	115644610	361855	510176	1.0	TRUE	0.495583325969
chr1_start_115644610_end_121100000	chr1	115644610	121100000	3537058	3443397	0.0290925883168	FALSE	-0.0387173529535
chr1_start_128000000_end_163299463	chr1	128000000	163299463	14920074	14520331	0.0342105263158	FALSE	-0.0391803501918
chr1_start_163299463_end_164096896	chr1	163299463	164096896	497312	700500	0.559451219512	TRUE	0.494233807266
chr1_start_164096896_end_206698479	chr1	164096896	206698479	26603578	25893000	0.0234688419363	FALSE	-0.0390581637979
chr1_start_206698479_end_215689277	chr1	206698479	215689277	5599288	7896554	0.549443851897	TRUE	0.495979821629
chr1_start_215689277_end_247249719	chr1	215689277	247249719	19746406	19210613	0.0233949060135	FALSE	-0.03968654009
