#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_0_end_18527926	chr1	0	18527926	11892120	11821651	0.0250032220647	FALSE	-0.00857439131856
chr1_start_18527926_end_22969419	chr1	18527926	22969419	2802618	3061420	0.0544474393531	FALSE	0.127425866755
chr1_start_22969419_end_115061291	chr1	22969419	115061291	57659099	57303215	0.021392056626	FALSE	-0.00893220924609
chr1_start_115061291_end_115644610	chr1	115061291	115644610	362355	396258	0.428571428571	TRUE	0.129036260259
chr1_start_115644610_end_121100000	chr1	115644610	121100000	3539123	3515802	0.0216839677047	FALSE	-0.00953807832073
chr1_start_128000000_end_163299463	chr1	128000000	163299463	14914826	14827043	0.0352140186394	FALSE	-0.00851624129757
chr1_start_163299463_end_164096896	chr1	163299463	164096896	497185	542413	0.0453857791225	FALSE	0.125608984783
chr1_start_164096896_end_206698479	chr1	164096896	206698479	26611208	26456212	0.0221016676713	FALSE	-0.00842749078123
chr1_start_206698479_end_215689277	chr1	206698479	215689277	5604624	6125738	0.0449863677673	FALSE	0.128266074146
chr1_start_215689277_end_247249719	chr1	215689277	247249719	19746364	19625620	0.023395149786	FALSE	-0.00884879543404
