#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_0_end_18527926	chr1	0	18527926	11883539	11640811	0.0291355801389	FALSE	-0.029772972261
chr1_start_18527926_end_22969419	chr1	18527926	22969419	2800847	3698337	0.342357123325	TRUE	0.401013515617
chr1_start_22969419_end_115061291	chr1	22969419	115061291	57670971	56447181	0.023140287996	FALSE	-0.0309437792054
chr1_start_115061291_end_115644610	chr1	115061291	115644610	362190	476897	1.0	TRUE	0.396930992957
chr1_start_115644610_end_121100000	chr1	115644610	121100000	3538301	3462100	0.0303169499311	FALSE	-0.0314093855812
chr1_start_128000000_end_163299463	chr1	128000000	163299463	14916751	14604273	0.0346996069624	FALSE	-0.0305427954329
chr1_start_163299463_end_164096896	chr1	163299463	164096896	496458	656397	0.370149253731	TRUE	0.402896973243
chr1_start_164096896_end_206698479	chr1	164096896	206698479	26604801	26059762	0.0231390671232	FALSE	-0.0298627043713
chr1_start_206698479_end_215689277	chr1	206698479	215689277	5606216	7397400	0.35497049478	TRUE	0.399990958269
chr1_start_215689277_end_247249719	chr1	215689277	247249719	19747438	19331447	0.0228460323247	FALSE	-0.0307158621691
