#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_0_end_18527926	chr1	0	18527926	11886898	11601916	0.0296267795306	FALSE	-0.0350091999983
chr1_start_18527926_end_22969419	chr1	18527926	22969419	2802440	3827046	0.445835601524	TRUE	0.449547756509
chr1_start_22969419_end_115061291	chr1	22969419	115061291	57664755	56272735	0.0232181340548	FALSE	-0.0352537216799
chr1_start_115061291_end_115644610	chr1	115061291	115644610	362812	493721	1.0	TRUE	0.444473836416
chr1_start_115644610_end_121100000	chr1	115644610	121100000	3538501	3450943	0.0308755760369	FALSE	-0.0361476823597
chr1_start_128000000_end_163299463	chr1	128000000	163299463	14920073	14564244	0.0353690562664	FALSE	-0.0348237782538
chr1_start_163299463_end_164096896	chr1	163299463	164096896	498145	677639	0.44596651446	TRUE	0.443951165191
chr1_start_164096896_end_206698479	chr1	164096896	206698479	26614702	25965522	0.0246559824076	FALSE	-0.0356261837034
chr1_start_206698479_end_215689277	chr1	206698479	215689277	5601101	7654374	0.445728184859	TRUE	0.450573950741
chr1_start_215689277_end_247249719	chr1	215689277	247249719	19748610	19272264	0.0232273838631	FALSE	-0.0352250517054
