#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_0_end_18527926	chr1	0	18527926	11890482	11743626	0.0278965847431	FALSE	-0.0179292698304
chr1_start_18527926_end_22969419	chr1	18527926	22969419	2804295	3318510	0.123574144487	FALSE	0.242897498894
chr1_start_22969419_end_115061291	chr1	22969419	115061291	57656927	56954704	0.0218678169968	FALSE	-0.0176789442446
chr1_start_115061291_end_115644610	chr1	115061291	115644610	361175	427476	0.974504249292	TRUE	0.243145389264
chr1_start_115644610_end_121100000	chr1	115644610	121100000	3536570	3493253	0.0259829845942	FALSE	-0.0177796829414
chr1_start_128000000_end_163299463	chr1	128000000	163299463	14916664	14741978	0.0343627175744	FALSE	-0.0169948131955
chr1_start_163299463_end_164096896	chr1	163299463	164096896	497693	587836	0.119822485207	FALSE	0.240157618803
chr1_start_164096896_end_206698479	chr1	164096896	206698479	26610549	26291114	0.022958927915	FALSE	-0.0174230020506
chr1_start_206698479_end_215689277	chr1	206698479	215689277	5603236	6641203	0.116956389143	FALSE	0.245184339711
chr1_start_215689277_end_247249719	chr1	215689277	247249719	19750561	19507799	0.0214390721986	FALSE	-0.0178426199001
