#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_0_end_18527926	chr1	0	18527926	11889676	11677357	0.028806056329	FALSE	-0.0259956232957
chr1_start_18527926_end_22969419	chr1	18527926	22969419	2802769	3574531	0.26688453159	TRUE	0.35090111951
chr1_start_22969419_end_115061291	chr1	22969419	115061291	57657628	56615730	0.0227444794953	FALSE	-0.0263085422253
chr1_start_115061291_end_115644610	chr1	115061291	115644610	362206	462964	1.0	TRUE	0.354089569173
chr1_start_115644610_end_121100000	chr1	115644610	121100000	3538598	3475637	0.0258600785038	FALSE	-0.025900461597
chr1_start_128000000_end_163299463	chr1	128000000	163299463	14915311	14647413	0.0332810398924	FALSE	-0.0261481787857
chr1_start_163299463_end_164096896	chr1	163299463	164096896	496322	633543	0.269911504425	TRUE	0.35216613663
chr1_start_164096896_end_206698479	chr1	164096896	206698479	26609052	26123788	0.0248957116636	FALSE	-0.0265530067816
chr1_start_206698479_end_215689277	chr1	206698479	215689277	5601561	7145405	0.266676866585	TRUE	0.351186862906
chr1_start_215689277_end_247249719	chr1	215689277	247249719	19748770	19390291	0.0230919605767	FALSE	-0.0264283467676
