#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_0_end_2162500	chr1	0	2162500	1311849	1175354	0.051040967092	FALSE	-0.158506326938
chr1_start_2162500_end_17300000	chr1	2162500	17300000	9810823	8739282	0.0330068635768	FALSE	-0.166859408831
chr1_start_17300000_end_34600000	chr1	17300000	34600000	10857039	11111142	0.0884597771333	FALSE	0.0333764082161
chr1_start_34600000_end_49737500	chr1	34600000	49737500	9506061	9727633	0.0858336498291	FALSE	0.0332411410391
chr1_start_49737500_end_62712500	chr1	49737500	62712500	8080640	8274169	0.0865859129655	FALSE	0.0341448636111
chr1_start_62712500_end_82175000	chr1	62712500	82175000	12095735	12399779	0.0887524632409	FALSE	0.0358159701711
chr1_start_82175000_end_101637500	chr1	82175000	101637500	12097929	12385016	0.0900585684947	FALSE	0.0338356334048
chr1_start_101637500_end_105962500	chr1	101637500	105962500	2820575	2888136	0.0857233906947	FALSE	0.0341493799933
chr1_start_105962500_end_116775000	chr1	105962500	116775000	6848249	7015972	0.0876039710223	FALSE	0.0349078315585
chr1_start_116775000_end_121100000	chr1	116775000	121100000	2831863	2902721	0.079561042524	FALSE	0.0356544391824
chr1_start_128000000_end_142309966	chr1	128000000	142309966	537837	550266	0.135593220339	FALSE	0.0329601822504
chr1_start_142309966_end_147079954	chr1	142309966	147079954	3911734	4004274	0.0658518333749	FALSE	0.0337324270878
chr1_start_147079954_end_161389920	chr1	147079954	161389920	9281118	9506502	0.082804761491	FALSE	0.0346159842284
chr1_start_161389920_end_163774914	chr1	161389920	163774914	1481714	1516783	0.0877706260971	FALSE	0.0337476938689
chr1_start_163774914_end_175699885	chr1	163774914	175699885	7411223	7591193	0.0911086717892	FALSE	0.0346149956415
chr1_start_175699885_end_190009851	chr1	175699885	190009851	8897836	9109941	0.081528789542	FALSE	0.0339872027272
chr1_start_190009851_end_211474800	chr1	190009851	211474800	13471138	13797718	0.0874369910818	FALSE	0.0345579495235
chr1_start_211474800_end_225784766	chr1	211474800	225784766	8921688	9137263	0.0917296183655	FALSE	0.0344453847318
chr1_start_225784766_end_242479726	chr1	225784766	242479726	10440229	9305475	0.0302316748956	FALSE	-0.166001656923
chr1_start_242479726_end_247249714	chr1	242479726	247249714	3011368	2282919	0.184664246824	UNCERTAIN	-0.399539348993
