#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_51598_end_71155359	chr1	51598	71155359	44769641	44159441	0.952277904328	TRUE	-0.0197988399417
chr1_start_71155496_end_72981640	chr1	71155496	72981640	1134617	1621380	0.999115826702	TRUE	0.515016867176
chr1_start_72981677_end_118821760	chr1	72981677	118821760	28753071	28359722	0.98855740422	TRUE	-0.0198726623138
chr1_start_118821952_end_119247524	chr1	118821952	119247524	260999	371309	0.992673992674	TRUE	0.508576005267
chr1_start_119248025_end_120293407	chr1	119248025	120293407	662066	650862	0.924969249692	TRUE	-0.0246233572911
chr1_start_120293407_end_121100000	chr1	120293407	121100000	639880	630985	0.0366666666667	FALSE	-0.020195665074
chr1_start_128000000_end_188338626	chr1	128000000	188338626	30476479	30054807	0.0297161652536	FALSE	-0.0201004797447
chr1_start_188338626_end_188870762	chr1	188338626	188870762	332076	767646	1.0	TRUE	1.20892770613
chr1_start_188870762_end_222321150	chr1	188870762	222321150	20943586	20653915	0.0221785982792	FALSE	-0.020093210432
chr1_start_222321150_end_223560451	chr1	222321150	223560451	771168	1785338	0.997624703088	TRUE	1.21108013841
chr1_start_223560451_end_247249719	chr1	223560451	247249719	14849946	14649192	0.0218719006107	FALSE	-0.0196365922011
