#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_0_end_14247058	chr1	0	14247058	9109226	10258437	0.0248799650808	FALSE	0.17141055494
chr1_start_14247058_end_42741175	chr1	14247058	42741175	17962152	20233450	0.0200073590286	FALSE	0.171782128328
chr1_start_42741175_end_78358822	chr1	42741175	78358822	22213545	20856591	0.214980624948	UNCERTAIN	-0.0909362777856
chr1_start_78358822_end_99729410	chr1	78358822	99729410	13277886	12477337	0.0263121736741	FALSE	-0.0897154134242
chr1_start_99729410_end_121099998	chr1	99729410	121099998	13693391	11626228	0.0835047570069	FALSE	-0.236096650127
chr1_start_128000000_end_163073446	chr1	128000000	163073446	14770492	16596812	0.0364025695931	FALSE	0.16818826541
chr1_start_163073446_end_191132203	chr1	163073446	191132203	17447630	19653735	0.0137373945256	FALSE	0.171772427448
chr1_start_191132203_end_205161581	chr1	191132203	205161581	8815465	8289031	0.207470524126	UNCERTAIN	-0.0888332127425
chr1_start_205161581_end_212176270	chr1	205161581	212176270	4401847	4136491	0.0276091638927	FALSE	-0.0897015575077
chr1_start_212176270_end_247249716	chr1	212176270	247249716	21933813	18568080	0.0868591978276	FALSE	-0.240331990011
