#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_0_end_14247058	chr1	0	14247058	9109520	12673175	0.0167374902437	FALSE	0.476331064481
chr1_start_14247058_end_42741175	chr1	14247058	42741175	17961990	25017587	0.0171250172168	FALSE	0.477995450774
chr1_start_42741175_end_78358822	chr1	42741175	78358822	22202267	19359660	0.976263463132	TRUE	-0.197653377109
chr1_start_78358822_end_113976469	chr1	78358822	113976469	22398682	19529431	0.0324580598104	FALSE	-0.197763926463
chr1_start_113976469_end_121099998	chr1	113976469	121099998	4577647	2930491	0.767168564084	TRUE	-0.643463808809
chr1_start_128000000_end_143899962	chr1	128000000	143899962	1720976	2329734	0.219889883001	UNCERTAIN	0.436938264647
chr1_start_143899962_end_159799924	chr1	143899962	159799924	10972280	15192806	0.063432531594	FALSE	0.469525005966
chr1_start_159799924_end_191599849	chr1	159799924	191599849	19819046	17283395	0.977720996952	TRUE	-0.197500883504
chr1_start_191599849_end_223399774	chr1	191599849	223399774	19906819	17385049	0.0361351480628	FALSE	-0.195415571429
chr1_start_223399774_end_247249717	chr1	223399774	247249717	14956233	9162678	0.78090180152	TRUE	-0.706905626584
